trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
3475,False,"{'a': 0.01, 'e': 0.030908048516573486}",20,8,17.193559413204554,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3476,False,"{'a': 0.01, 'e': 0.030877140468056914}",20,5,17.61147579469017,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
3477,False,"{'a': 0.01, 'e': 0.030846263327588858}",20,12,15.979841223719417,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3478,False,"{'a': 0.01, 'e': 0.030815417064261268}",25,3,36.85627632504885,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
3479,False,"{'a': 0.01, 'e': 0.030784601647197006}",20,16,4.875753108471352,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3480,False,"{'a': 0.01, 'e': 0.03075381704554981}",30,19,23.568333498566563,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3481,False,"{'a': 0.01, 'e': 0.03072306322850426}",30,8,35.760448574927906,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
3482,False,"{'a': 0.01, 'e': 0.030692340165275753}",20,6,28.10088918063687,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3483,False,"{'a': 0.01, 'e': 0.03066164782511048}",30,13,28.69739215076638,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3484,False,"{'a': 0.01, 'e': 0.03063098617728537}",20,1,36.64416017934172,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
3485,False,"{'a': 0.01, 'e': 0.030600355191108083}",20,14,12.344194284028124,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3486,False,"{'a': 0.01, 'e': 0.030569754835916976}",20,10,-0.703443997510282,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
3487,False,"{'a': 0.01, 'e': 0.03053918508108106}",25,13,18.91283966720367,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3488,False,"{'a': 0.01, 'e': 0.030508645895999977}",20,12,16.437476266655956,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3489,False,"{'a': 0.01, 'e': 0.030478137250103978}",30,12,30.4282308150409,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3490,False,"{'a': 0.01, 'e': 0.030447659112853874}",20,8,25.451169855504194,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3491,False,"{'a': 0.01, 'e': 0.03041721145374102}",25,6,30.76164950868073,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
3492,False,"{'a': 0.01, 'e': 0.03038679424228728}",25,20,9.06718653361919,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3493,False,"{'a': 0.01, 'e': 0.030356407448044992}",30,16,29.567711304464098,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
